bestell_ref,rezept,menge
B0001,Caprese-Salat,2
B0002,Hähnchen-Gemüse-Pfanne,1
B0003,Lachs mit Basmatireis,1
B0004,Lachs mit Basmatireis,2
B0005,Veganes Linsen-Curry,1
B0006,Spaghetti Bolognese,2
B0007,Käse-Omelett,1
B0008,Brokkoli-Garnelen-Pfanne,1
B0009,Veganes Linsen-Curry,2
B0010,Schweineschnitzel mit Kartoffelsalat,2
B0011,Buntes Gemüse-Couscous,1
B0012,Kartoffel-Gratin,1
B0013,Haferflocken-Bowl,1
B0014,Thunfisch-Salat,2
B0015,Vollkornbrot mit Honig,3
B0016,Gemüsesuppe,2
B0017,Hähnchen-Gemüse-Pfanne,1
B0018,Thunfisch-Salat,1
B0019,Vollkornbrot mit Honig,1
B0020,Käse-Omelett,2
B0021,Spaghetti Bolognese,3
B0022,Kichererbsen-Bowl,1
B0023,Brokkoli-Garnelen-Pfanne,2
B0024,Veganes Linsen-Curry,1
B0025,Caprese-Salat,1
