lieferantenname,zutat,menge,nettopreis
Frische Backstube Nord,Weizenmehl Type 405,50,45.00
Frische Backstube Nord,Roggenmehl,30,28.50
Frische Backstube Nord,Hefe,20,15.00
Gemüsehof Sonnenfeld,Tomaten,100,180.00
Gemüsehof Sonnenfeld,Karotten,80,96.00
Gemüsehof Sonnenfeld,Kartoffeln,150,90.00
Bio-Metzgerei Heumann,Hähnchenbrustfilet,60,420.00
Bio-Metzgerei Heumann,Rinderhackfleisch,40,360.00
Bio-Metzgerei Heumann,Bio-Eier,200,80.00
Fischmarkt Köln GmbH,Lachsfilet,30,540.00
Fischmarkt Köln GmbH,Garnelen,25,375.00
Käserei Allgäu Frisch,Gouda,40,260.00
Käserei Allgäu Frisch,Vollmilch,100,89.00
Käserei Allgäu Frisch,Butter,50,225.00
Mühlenbäckerei Schwabenland,Vollkornnudeln,60,150.00
Mühlenbäckerei Schwabenland,Basmatireis,70,182.00
Mühlenbäckerei Schwabenland,Couscous,40,108.00
Gewürzhandel Rheinland,Salz,30,18.00
Gewürzhandel Rheinland,Olivenöl,40,320.00
Bio-Hof Sachsenland,Bio-Honig,25,212.50
Bio-Hof Sachsenland,Linsen,45,135.00
