bezeichnung,beschreibung,portionen,bild
Spaghetti Bolognese,Klassische italienische Pasta mit würziger Rinderhack-Sauce.,4,spaghetti_bolognese.jpg
Hähnchen-Gemüse-Pfanne,Schnelle Pfanne mit Hähnchenbrust und buntem Gemüse.,2,haehnchen_gemuese_pfanne.jpg
Lachs mit Basmatireis,Gebratenes Lachsfilet auf duftendem Basmatireis.,2,lachs_basmatireis.jpg
Veganes Linsen-Curry,Cremiges Curry mit Linsen und Kichererbsen.,4,veganes_linsen_curry.jpg
Caprese-Salat,Frischer Salat mit Tomaten und Mozzarella.,2,caprese_salat.jpg
Kartoffel-Gratin,Überbackene Kartoffelscheiben mit Sahne und Gouda.,4,kartoffel_gratin.jpg
Brokkoli-Garnelen-Pfanne,Asiatisch angehauchte Pfanne mit Garnelen und Brokkoli.,2,brokkoli_garnelen_pfanne.jpg
Vollkornbrot mit Honig,"Hausgemachtes Vollkornbrot, serviert mit Bio-Honig.",6,vollkornbrot_honig.jpg
Schweineschnitzel mit Kartoffelsalat,Knuspriges Schnitzel mit klassischem Kartoffelsalat.,2,schnitzel_kartoffelsalat.jpg
Gemüsesuppe,"Wärmende Suppe mit Karotten, Zwiebeln und Kartoffeln.",4,gemuesesuppe.jpg
Thunfisch-Salat,"Leichter Salat mit Thunfisch, Gurken und Paprika.",2,thunfisch_salat.jpg
Haferflocken-Bowl,"Gesundes Frühstück mit Haferflocken, Joghurt und Honig.",1,haferflocken_bowl.jpg
Käse-Omelett,Fluffiges Omelett mit Bio-Eiern und Gouda.,1,kaese_omelett.jpg
Kichererbsen-Bowl,"Bunte Bowl mit Kichererbsen, Paprika und Joghurt-Dressing.",2,kichererbsen_bowl.jpg
Buntes Gemüse-Couscous,Mediterraner Couscous-Salat mit frischem Gemüse.,4,gemuese_couscous.jpg
