rezept,zutat,menge,einheit
Spaghetti Bolognese,Vollkornnudeln,400,Gramm
Spaghetti Bolognese,Rinderhackfleisch,500,Gramm
Spaghetti Bolognese,Tomaten,400,Gramm
Spaghetti Bolognese,Zwiebeln,100,Gramm
Spaghetti Bolognese,Olivenöl,30,Milliliter
Spaghetti Bolognese,Salz,5,Gramm
Spaghetti Bolognese,Pfeffer schwarz,2,Gramm
Hähnchen-Gemüse-Pfanne,Hähnchenbrustfilet,300,Gramm
Hähnchen-Gemüse-Pfanne,Paprika,200,Gramm
Hähnchen-Gemüse-Pfanne,Brokkoli,200,Gramm
Hähnchen-Gemüse-Pfanne,Zwiebeln,50,Gramm
Hähnchen-Gemüse-Pfanne,Olivenöl,20,Milliliter
Hähnchen-Gemüse-Pfanne,Currypulver,5,Gramm
Lachs mit Basmatireis,Lachsfilet,300,Gramm
Lachs mit Basmatireis,Basmatireis,200,Gramm
Lachs mit Basmatireis,Spinat,100,Gramm
Lachs mit Basmatireis,Olivenöl,15,Milliliter
Lachs mit Basmatireis,Salz,3,Gramm
Veganes Linsen-Curry,Linsen,300,Gramm
Veganes Linsen-Curry,Kichererbsen,240,Gramm
Veganes Linsen-Curry,Tomaten,200,Gramm
Veganes Linsen-Curry,Zwiebeln,100,Gramm
Veganes Linsen-Curry,Currypulver,10,Gramm
Veganes Linsen-Curry,Olivenöl,20,Milliliter
Caprese-Salat,Tomaten,300,Gramm
Caprese-Salat,Mozzarella,250,Gramm
Caprese-Salat,Olivenöl,15,Milliliter
Caprese-Salat,Salz,2,Gramm
Caprese-Salat,Pfeffer schwarz,1,Gramm
Kartoffel-Gratin,Kartoffeln,800,Gramm
Kartoffel-Gratin,Sahne,250,Milliliter
Kartoffel-Gratin,Gouda,150,Gramm
Kartoffel-Gratin,Zwiebeln,50,Gramm
Kartoffel-Gratin,Salz,4,Gramm
Brokkoli-Garnelen-Pfanne,Garnelen,250,Gramm
Brokkoli-Garnelen-Pfanne,Brokkoli,250,Gramm
Brokkoli-Garnelen-Pfanne,Paprika,100,Gramm
Brokkoli-Garnelen-Pfanne,Olivenöl,15,Milliliter
Brokkoli-Garnelen-Pfanne,Currypulver,5,Gramm
Vollkornbrot mit Honig,Vollkornbrot,1,Stück
Vollkornbrot mit Honig,Bio-Honig,50,Gramm
Vollkornbrot mit Honig,Butter,20,Gramm
Schweineschnitzel mit Kartoffelsalat,Schweineschnitzel,300,Gramm
Schweineschnitzel mit Kartoffelsalat,Kartoffeln,500,Gramm
Schweineschnitzel mit Kartoffelsalat,Zwiebeln,50,Gramm
Schweineschnitzel mit Kartoffelsalat,Olivenöl,20,Milliliter
Schweineschnitzel mit Kartoffelsalat,Salz,4,Gramm
Gemüsesuppe,Karotten,300,Gramm
Gemüsesuppe,Zwiebeln,150,Gramm
Gemüsesuppe,Kartoffeln,300,Gramm
Gemüsesuppe,Salz,5,Gramm
Gemüsesuppe,Pfeffer schwarz,1,Gramm
Thunfisch-Salat,Thunfisch in Dosen,200,Gramm
Thunfisch-Salat,Gurken,200,Gramm
Thunfisch-Salat,Paprika,150,Gramm
Thunfisch-Salat,Olivenöl,15,Milliliter
Thunfisch-Salat,Salz,2,Gramm
Haferflocken-Bowl,Haferflocken,80,Gramm
Haferflocken-Bowl,Joghurt Natur,150,Gramm
Haferflocken-Bowl,Bio-Honig,20,Gramm
Käse-Omelett,Bio-Eier,3,Stück
Käse-Omelett,Gouda,50,Gramm
Käse-Omelett,Butter,10,Gramm
Käse-Omelett,Salz,2,Gramm
Kichererbsen-Bowl,Kichererbsen,240,Gramm
Kichererbsen-Bowl,Paprika,150,Gramm
Kichererbsen-Bowl,Joghurt Natur,100,Gramm
Kichererbsen-Bowl,Olivenöl,10,Milliliter
Kichererbsen-Bowl,Pfeffer schwarz,1,Gramm
Buntes Gemüse-Couscous,Couscous,250,Gramm
Buntes Gemüse-Couscous,Tomaten,150,Gramm
Buntes Gemüse-Couscous,Paprika,150,Gramm
Buntes Gemüse-Couscous,Gurken,100,Gramm
Buntes Gemüse-Couscous,Olivenöl,20,Milliliter
Buntes Gemüse-Couscous,Salz,3,Gramm
